Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;200;400;100;0;0.125;45;25;70;60;0.075;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
119;361;225;222;1;0;0;0;0;0;0;0;1.128809;1.178025;7.437673;15.23556;119;NaN;0;0;1;0
120;361;226;223;0;0;0;0;0;0;0;0;1.128809;1.177729;7.531856;15.37168;NaN;NaN;0;0;0;0
121;361;226;224;0;0;0;0;0;0;0;0;1.128809;1.177729;7.626039;15.57522;NaN;NaN;0;0;0;0
122;361;226;225;0;0;0;0;0;0;0;0;1.128809;1.177729;7.720222;15.77876;NaN;NaN;0;0;0;0
123;361;226;225;0;0;0;0;0;0;0;0;1.128809;1.177729;7.814404;15.9823;NaN;NaN;0;0;0;0
124;360;226;225;1;0;0;0;0;0;0;0;1.128704;1.177729;7.930555;15.90265;124;NaN;0;0;1;0
125;360;227;226;0;0;0;0;0;0;0;0;1.128704;1.177436;8.027778;16.03524;NaN;NaN;0;0;0;0
126;358;227;227;2;0;0;0;0;0;0;0;1.129051;1.177436;8.030726;16.23788;126;NaN;1;0;2;0
127;358;228;227;0;0;0;0;0;0;0;0;1.129051;1.17812;8.125698;16.37719;NaN;NaN;0;0;0;0
128;358;228;227;0;0;0;0;0;0;0;0;1.129051;1.17812;8.220671;16.58772;NaN;NaN;0;0;0;0
129;357;228;228;1;0;0;0;0;0;0;0;1.128945;1.17812;8.341737;16.79825;129;NaN;0;0;1;0
130;357;228;229;0;0;0;0;0;0;0;0;1.128945;1.17812;8.439775;17.01316;NaN;NaN;0;0;0;0
131;357;228;230;0;0;0;0;0;0;0;0;1.128945;1.17812;8.537815;17.22807;NaN;NaN;0;0;0;0
132;357;228;230;0;0;0;0;0;0;0;0;1.128945;1.17812;8.487395;17.44298;NaN;NaN;0;0;0;0
133;358;228;231;0;0;0;0;0;0;0;0;1.129051;1.17812;8.561453;17.65789;NaN;NaN;0;0;0;0
134;358;228;232;0;0;0;0;0;0;0;0;1.129051;1.17812;8.659218;17.87281;NaN;NaN;0;0;0;0
135;358;228;232;0;0;0;0;0;0;0;0;1.129051;1.17812;8.756983;18.08772;NaN;NaN;0;0;0;0
136;358;228;233;0;0;0;0;0;0;0;0;1.129051;1.17812;8.857542;18.30263;NaN;NaN;0;0;0;0
137;358;228;234;0;0;0;0;0;0;0;0;1.129051;1.17812;8.9581;18.51754;NaN;NaN;0;0;0;0
138;357;228;234;1;0;0;0;0;0;0;0;1.129225;1.17812;8.837535;18.64912;138;NaN;0;0;1;0
139;358;228;235;0;0;0;0;0;0;0;0;1.12933;1.17812;8.913408;18.86403;NaN;NaN;0;0;0;0
140;358;228;235;0;0;0;0;0;0;0;0;1.12933;1.17812;8.955307;19.07895;NaN;NaN;0;0;0;0
141;358;228;236;1;0;0;0;0;0;0;0;1.129423;1.17812;9.00838;19.29386;141;NaN;0;0;1;0
142;358;228;237;0;0;0;0;0;0;0;0;1.129423;1.17812;9.106145;19.51316;NaN;NaN;0;0;0;0
143;358;228;237;0;0;0;0;0;0;0;0;1.129423;1.17812;9.203911;19.73246;NaN;NaN;0;0;0;0
144;358;228;237;0;0;0;0;0;0;0;0;1.129423;1.17812;9.301676;19.95175;NaN;NaN;0;0;0;0
145;357;228;238;1;0;0;0;0;0;0;0;1.129599;1.17812;9.022409;20.17105;145;NaN;1;0;1;0
146;356;228;238;1;0;0;0;0;0;0;0;1.129495;1.17812;9.143258;20.39474;146;NaN;0;0;1;0
147;356;227;239;0;0;0;0;1;0;0;0;1.129495;1.17817;9.238764;20.07048;NaN;147;0;1;0;1
148;356;226;240;0;0;0;0;1;0;0;0;1.129495;1.177729;9.33427;19.73451;NaN;148;0;1;0;1
149;356;226;240;0;0;0;0;0;0;0;0;1.129495;1.177729;9.429775;19.95575;NaN;NaN;0;0;0;0
150;355;226;239;1;0;0;0;0;0;0;0;1.12939;1.177729;9.135211;20.17699;150;NaN;1;0;1;0
151;355;226;240;0;0;0;0;0;0;0;0;1.12939;1.177729;9.233803;20.40265;NaN;NaN;0;0;0;0
152;354;226;241;1;0;0;0;0;0;0;0;1.129567;1.177729;9.358757;20.04867;152;NaN;0;0;1;0
153;354;227;242;0;0;0;0;0;0;0;0;1.129567;1.177436;9.457627;20.18502;NaN;NaN;0;0;0;0
154;354;227;243;0;0;0;0;0;0;0;0;1.129567;1.177436;9.556498;20.40969;NaN;NaN;0;0;0;0
155;354;227;244;0;0;0;0;0;0;0;0;1.129567;1.177436;9.655367;20.63436;NaN;NaN;0;0;0;0
156;354;227;244;0;0;0;0;0;0;0;0;1.129567;1.177436;9.754237;20.85903;NaN;NaN;0;0;0;0
157;354;227;243;0;0;0;0;0;0;0;0;1.129567;1.177436;9.853107;21.0837;NaN;NaN;0;0;0;0
158;353;227;244;1;0;0;0;0;0;0;0;1.129745;1.177436;9.983003;21.30837;158;NaN;0;0;1;0
159;353;227;245;0;0;0;0;0;0;0;0;1.129745;1.177436;10.08499;21.53745;NaN;NaN;0;0;0;0
160;352;227;245;0;1;0;0;0;0;0;0;1.129641;1.177436;9.764205;21.76652;160;NaN;1;0;1;0
161;351;227;245;1;0;0;0;0;0;0;0;1.12982;1.177436;9.891738;21.99559;161;NaN;0;0;1;0
162;351;227;244;0;0;0;0;0;0;0;0;1.12982;1.177436;9.811966;22.22907;NaN;NaN;0;0;0;0
163;351;227;245;1;0;0;0;0;0;0;0;1.12982;1.177436;9.91453;21.89427;163;NaN;0;0;1;0
164;351;228;246;0;0;0;0;0;0;0;0;1.12982;1.177145;10.01709;22.0307;NaN;NaN;0;0;0;0
165;348;228;247;2;1;0;0;0;0;0;0;1.130077;1.177145;9.735632;22;165;NaN;1;0;3;0
166;348;229;247;0;0;0;0;0;0;0;0;1.130077;1.176856;9.836206;22.13974;NaN;NaN;0;0;0;0
167;347;229;246;1;0;0;0;0;0;0;0;1.13026;1.176856;9.149856;22.37555;167;NaN;1;0;1;0
168;348;229;246;0;0;0;0;0;0;0;0;1.130077;1.176856;9.227012;22.61572;NaN;NaN;0;0;0;0
